time,ax,ay,az
7.305750090E-1,-5.899810791E-1,9.880416870E0,7.096557617E-1
7.330774500E-1,-6.330871582E-1,9.930694580E0,7.168273926E-1
7.355798920E-1,-6.115264893E-1,9.873229980E0,7.862701416E-1
7.380823330E-1,-6.354827881E-1,9.909149170E0,9.035797119E-1
7.405847750E-1,-6.306915283E-1,9.892379761E0,1.023284912E0
7.430872160E-1,-5.875854492E-1,9.947448730E0,1.078353882E0
7.455896570E-1,-6.091461182E-1,9.959426880E0,1.080749512E0
7.480920990E-1,-5.828094482E-1,9.976181030E0,1.104690552E0
7.505945400E-1,-4.630889893E-1,1.001210022E1,1.164550781E0
7.530969820E-1,-4.822540283E-1,1.006716919E1,1.131027222E0
7.555994230E-1,-6.354827881E-1,1.014855957E1,1.066390991E0
7.581018650E-1,-6.306915283E-1,1.011265564E1,1.073577881E0
7.606043060E-1,-5.229492188E-1,1.008631897E1,1.207641602E0
7.631067470E-1,-4.032440186E-1,1.015814209E1,1.272293091E0
7.656091890E-1,-4.104156494E-1,1.019166565E1,1.147796631E0
7.681116300E-1,-3.769073486E-1,1.025390625E1,1.138214111E0
7.706140720E-1,-5.636444092E-1,1.041432190E1,9.801940918E-1
7.731165130E-1,-6.546325684E-1,1.045024109E1,9.849853516E-1
7.756189540E-1,-6.450500488E-1,1.052445984E1,1.080749512E0
7.781213960E-1,-7.049102783E-1,1.060107422E1,1.126235962E0
7.806238370E-1,-6.857604980E-1,1.051727295E1,1.150192261E0
7.831262790E-1,-7.719421387E-1,1.049333191E1,1.152572632E0
7.856287200E-1,-8.365936279E-1,1.048614502E1,1.018508911E0
7.881006440E-1,-8.988342285E-1,1.048614502E1,8.150024414E-1
7.906030850E-1,-9.299621582E-1,1.043826294E1,7.862701416E-1
7.931055270E-1,-7.982788086E-1,1.042390442E1,8.197784424E-1
7.956079680E-1,-7.910919189E-1,1.038079834E1,8.916168213E-1
7.981104090E-1,-7.863159180E-1,1.038319397E1,1.054412842E0
8.006128510E-1,-8.365936279E-1,1.035208130E1,1.135818481E0
8.031152920E-1,-8.677062988E-1,1.025151062E1,1.248352051E0
8.056177340E-1,-7.839202881E-1,1.013659668E1,1.312988281E0
8.081201750E-1,-7.288513184E-1,1.004322815E1,1.301025391E0
8.106226160E-1,-7.575836182E-1,9.949844360E0,1.255523682E0
8.131250580E-1,-7.551879883E-1,9.892379761E0,1.183700562E0
8.156274990E-1,-7.887115479E-1,9.832534790E0,1.157363892E0
8.181299410E-1,-8.341979980E-1,9.722396851E0,1.095123291E0
8.206323820E-1,-8.629302979E-1,9.655364990E0,1.047241211E0
8.231348240E-1,-8.198242188E-1,9.588317871E0,1.150192261E0
8.256372650E-1,-7.910919189E-1,9.593109131E0,1.078353882E0
8.281397060E-1,-8.294067383E-1,9.547622681E0,1.092727661E0
8.306421480E-1,-7.551879883E-1,9.492553711E0,1.181304932E0
8.331445890E-1,-7.910919189E-1,9.514099121E0,1.107086182E0
8.356470310E-1,-7.958831787E-1,9.528472900E0,1.135818481E0
8.381494720E-1,-7.049102783E-1,9.485366821E0,1.183700562E0
8.406519130E-1,-6.235046387E-1,9.514099121E0,1.044845581E0
8.431543550E-1,-6.522369385E-1,9.595504761E0,9.777984619E-1
8.456567960E-1,-7.384185791E-1,9.590713501E0,9.442901611E-1
8.481592380E-1,-9.132080078E-1,9.624237061E0,9.730072021E-1
8.506616790E-1,-9.826354980E-1,9.612258911E0,1.068786621E0
8.531641200E-1,-9.323577881E-1,9.514099121E0,1.166946411E0
8.556665620E-1,-8.605346680E-1,9.423126221E0,1.198074341E0
8.581384860E-1,-7.719421387E-1,9.380035400E0,1.107086182E0
8.606714450E-1,-8.365936279E-1,9.473403931E0,9.011840820E-1
8.631738860E-1,-9.730529785E-1,9.518890381E0,7.359924316E-1
8.656763270E-1,-9.730529785E-1,9.499740601E0,8.341522217E-1
8.681787690E-1,-8.653259277E-1,9.471008301E0,9.777984619E-1
8.706812100E-1,-7.288513184E-1,9.504531860E0,1.107086182E0
8.731836520E-1,-7.049102783E-1,9.583541870E0,1.114273071E0
8.756860930E-1,-8.006744385E-1,9.720001221E0,1.032867432E0
8.781580170E-1,-8.126525879E-1,9.763107300E0,1.085540771E0
8.806604580E-1,-7.743377686E-1,9.839721680E0,1.099899292E0
8.831629000E-1,-7.599792480E-1,9.899566650E0,1.107086182E0
8.856653410E-1,-6.809692383E-1,9.928298950E0,1.068786621E0
8.881677820E-1,-6.665954590E-1,9.992950439E0,1.004135132E0
8.906702240E-1,-6.067504883E-1,1.007434082E1,9.873809814E-1
8.932031830E-1,-5.468902588E-1,1.015574646E1,9.586486816E-1
8.957056240E-1,-5.037994385E-1,1.023954773E1,9.634399414E-1
8.982080660E-1,-4.822540283E-1,1.020841980E1,9.562530518E-1
9.007105070E-1,-3.816833496E-1,1.014378357E1,1.056808472E0
9.032129490E-1,-3.385925293E-1,1.013420105E1,1.042449951E0
9.057153900E-1,-3.697204590E-1,1.015335083E1,9.586486816E-1
9.082178310E-1,-3.098602295E-1,1.011026001E1,9.825897217E-1
9.107202730E-1,-2.595825195E-1,1.011505127E1,9.538574219E-1
9.132227140E-1,-2.236785889E-1,1.013420105E1,8.485107422E-1
9.157251560E-1,-1.925506592E-1,1.009590149E1,7.766876221E-1
9.182275970E-1,-1.877593994E-1,1.008152771E1,7.503509521E-1
9.207300380E-1,-2.787322998E-1,1.011744690E1,6.833190918E-1
9.232324800E-1,-2.859191895E-1,1.009590149E1,6.545867920E-1
9.257349210E-1,-3.577423096E-1,1.009111023E1,6.785278320E-1
9.282373630E-1,-4.319610596E-1,1.012940979E1,6.689453125E-1
9.307398040E-1,-4.894256592E-1,1.014855957E1,6.162719727E-1
9.332422450E-1,-4.559173584E-1,1.013899231E1,6.473999023E-1
9.357446870E-1,-5.397033691E-1,1.009350586E1,6.593780518E-1
9.382471280E-1,-5.468902588E-1,1.007673645E1,7.168273926E-1
9.407495700E-1,-6.641998291E-1,1.009111023E1,7.383880615E-1
9.432520110E-1,-6.618041992E-1,1.005039978E1,7.742919922E-1
9.457544520E-1,-6.282958984E-1,1.001928711E1,7.671051025E-1
9.482568940E-1,-5.684356689E-1,9.968994141E0,7.958374023E-1
9.507593350E-1,-4.630889893E-1,9.897171021E0,8.030242920E-1
9.532617770E-1,-4.367523193E-1,9.959426880E0,7.790832520E-1
9.557642180E-1,-5.061950684E-1,1.002166748E1,8.365478516E-1
9.582666590E-1,-5.851898193E-1,1.014138794E1,7.575378418E-1
9.607691010E-1,-6.187133789E-1,1.025630188E1,8.437194824E-1
