time,mx,my,mz
4.077485594E1,-2.658843994E1,-4.427337646E1,9.629821777E0
4.078483519E1,-2.688751221E1,-4.367370605E1,1.023101807E1
4.079481444E1,-2.643737793E1,-4.562377930E1,1.098022461E1
4.080479368E1,-2.688751221E1,-4.337463379E1,1.023101807E1
4.081477293E1,-2.733764648E1,-4.427337646E1,8.880615234E0
4.082475218E1,-2.598876953E1,-4.427337646E1,9.330749512E0
4.083473143E1,-2.538757324E1,-4.517364502E1,9.030151367E0
4.084471068E1,-2.508850098E1,-4.487457275E1,8.731079102E0
4.085468992E1,-2.658843994E1,-4.547424316E1,9.629821777E0
4.086466917E1,-2.628784180E1,-4.472351074E1,1.112976074E1
4.087464842E1,-2.568817139E1,-4.562377930E1,9.780883789E0
4.088462767E1,-2.643737793E1,-4.592437744E1,9.480285645E0
4.089460692E1,-2.613830566E1,-4.367370605E1,8.731079102E0
4.090458616E1,-2.463836670E1,-4.562377930E1,8.731079102E0
4.091453489E1,-2.523803711E1,-4.652404785E1,9.330749512E0
4.092454466E1,-2.448730469E1,-4.472351074E1,8.580017090E0
4.093452391E1,-2.508850098E1,-4.562377930E1,6.480407715E0
4.094450316E1,-2.613830566E1,-4.562377930E1,9.480285645E0
4.095451292E1,-2.568817139E1,-4.487457275E1,7.980346680E0
4.096449217E1,-2.478790283E1,-4.502410889E1,7.380676270E0
4.097444090E1,-2.628784180E1,-4.472351074E1,7.830810547E0
4.098442015E1,-2.688751221E1,-4.592437744E1,7.980346680E0
4.099439940E1,-2.568817139E1,-4.517364502E1,7.980346680E0
4.100437864E1,-2.613830566E1,-4.442443848E1,7.231140137E0
4.101435789E1,-2.718811035E1,-4.487457275E1,5.430603027E0
4.102433714E1,-2.703857422E1,-4.427337646E1,7.830810547E0
4.103431639E1,-2.628784180E1,-4.547424316E1,8.129882812E0
4.104429564E1,-2.568817139E1,-4.367370605E1,7.980346680E0
4.105427488E1,-2.613830566E1,-4.517364502E1,7.679748535E0
4.106425413E1,-2.523803711E1,-4.577484131E1,7.080078125E0
4.107423338E1,-2.568817139E1,-4.517364502E1,6.179809570E0
4.108421263E1,-2.448730469E1,-4.472351074E1,6.030273438E0
4.109419188E1,-2.433776855E1,-4.517364502E1,6.179809570E0
4.110414061E1,-2.448730469E1,-4.547424316E1,6.781005859E0
4.111415037E1,-2.343750000E1,-4.502410889E1,6.030273438E0
4.112412962E1,-2.568817139E1,-4.637451172E1,5.430603027E0
4.113410887E1,-2.433776855E1,-4.637451172E1,6.179809570E0
4.114408812E1,-2.508850098E1,-4.487457275E1,6.930541992E0
4.115406736E1,-2.388763428E1,-4.517364502E1,6.480407715E0
4.116404661E1,-2.568817139E1,-4.367370605E1,6.480407715E0
4.117402586E1,-2.628784180E1,-4.472351074E1,6.030273438E0
4.118403563E1,-2.598876953E1,-4.427337646E1,5.281066895E0
4.119398436E1,-2.688751221E1,-4.637451172E1,5.731201172E0
4.120396361E1,-2.643737793E1,-4.412384033E1,6.480407715E0
4.121391234E1,-2.823791504E1,-4.487457275E1,6.179809570E0
4.122389158E1,-2.658843994E1,-4.547424316E1,4.830932617E0
4.123390135E1,-2.553863525E1,-4.427337646E1,6.030273438E0
4.124476561E1,-2.553863525E1,-4.502410889E1,5.281066895E0
4.125392088E1,-2.553863525E1,-4.502410889E1,5.281066895E0
4.126383909E1,-2.613830566E1,-4.592437744E1,5.430603027E0
4.127381834E1,-2.853851318E1,-4.472351074E1,4.830932617E0
4.128382811E1,-2.823791504E1,-4.487457275E1,3.179931641E0
4.129383787E1,-2.763824463E1,-4.562377930E1,4.380798340E0
4.130384764E1,-2.868804932E1,-4.337463379E1,5.130004883E0
4.131388792E1,-2.568817139E1,-4.442443848E1,3.930664062E0
4.132386717E1,-2.778778076E1,-4.607391357E1,4.830932617E0
